question_id,subject,grade,competency,difficulty,question_type,marks,question_text,created_by,last_used_date
423,Science,6.0,Measurement,unknown,Word Problem,3.0,Sample question text 423,Unknown,2025-03-14
424,Mathematics,6.0,Fractions,unknown,Word Problem,2.0,Sample question text 424,Admin,
429,Mathematics,7.0,Algebra,medium,Short Answer,2.0,Sample question text 429,Unknown,2025-03-14
436,Mathematics,7.0,Geometry,easy,True/False,2.0,Sample question text 436,Admin,2025-01-10
438,Mathematics,6.0,Fractions,unknown,Word Problem,1.0,Sample question text 438,Teacher B,
439,Mathematics,6.0,Algebra,easy,True/False,5.0,Sample question text 439,Admin,
440,English,7.0,Geometry,unknown,Short Answer,5.0,Sample question text 440,Teacher B,2025-02-14
443,Mathematics,7.0,Geometry,hard,Word Problem,2.0,Sample question text 443,Unknown,
446,Mathematics,6.0,Geometry,unknown,True/False,1.0,Sample question text 446,Teacher B,2025-02-14
448,Mathematics,7.0,Fractions,unknown,MCQ,3.0,Sample question text 448,Unknown,
455,Mathematics,5.0,Algebra,easy,Word Problem,5.0,Sample question text 455,Teacher A,
464,Science,6.0,Geometry,easy,True/False,2.0,Sample question text 464,Admin,
467,Mathematics,7.0,Algebra,hard,MCQ,2.0,Sample question text 467,Teacher A,
470,Mathematics,7.0,Algebra,easy,Short Answer,1.0,Sample question text 470,Unknown,
473,English,7.0,Geometry,hard,Unknown,2.0,Sample question text 473,Teacher A,
475,Mathematics,7.0,Algebra,unknown,MCQ,2.0,Sample question text 475,Unknown,
476,Mathematics,7.0,Geometry,medium,Word Problem,2.0,Sample question text 476,Teacher B,2025-02-14
477,Mathematics,6.0,Geometry,medium,MCQ,2.0,Sample question text 477,Unknown,2025-01-10
479,Mathematics,7.0,Geometry,hard,True/False,1.0,Sample question text 479,Admin,2025-02-14
480,English,5.0,Geometry,medium,MCQ,2.0,Sample question text 480,Teacher B,2025-02-14
481,Mathematics,5.0,Algebra,medium,MCQ,5.0,Sample question text 481,Teacher A,2025-01-10
484,Mathematics,6.0,Algebra,unknown,Short Answer,2.0,Sample question text 484,Unknown,2025-01-10
485,Mathematics,7.0,Algebra,hard,Short Answer,2.0,Sample question text 485,Teacher B,2025-03-14
486,English,6.0,Algebra,hard,MCQ,2.0,Sample question text 486,Unknown,
488,Mathematics,6.0,Measurement,unknown,Word Problem,3.0,Sample question text 488,Admin,2025-02-14
492,Mathematics,7.0,Measurement,easy,Word Problem,1.0,Sample question text 492,Teacher A,2025-01-10
494,Mathematics,7.0,Algebra,easy,Short Answer,3.0,Sample question text 494,Teacher B,
495,English,6.0,Algebra,medium,Unknown,1.0,Sample question text 495,Teacher A,2025-02-14
497,English,7.0,Measurement,medium,Unknown,3.0,Sample question text 497,Teacher A,2025-03-14
499,Mathematics,6.0,Measurement,unknown,Short Answer,2.0,Sample question text 499,Teacher A,
500,Mathematics,6.0,Algebra,hard,Short Answer,2.0,Sample question text 500,Unknown,
501,Mathematics,6.0,Algebra,medium,Unknown,2.0,Sample question text 501,Teacher A,2025-01-10
502,Mathematics,7.0,Geometry,easy,Unknown,2.0,Sample question text 502,Admin,
503,Science,5.0,Fractions,easy,Short Answer,2.0,Sample question text 503,Teacher B,
504,Science,7.0,Data Interpretation,medium,True/False,3.0,Sample question text 504,Unknown,2025-01-10
507,Science,7.0,Fractions,hard,Unknown,2.0,Sample question text 507,Teacher B,
514,Mathematics,7.0,Measurement,easy,True/False,2.0,Sample question text 514,Unknown,2025-03-14
516,Mathematics,5.0,Algebra,easy,MCQ,2.0,Sample question text 516,Admin,2025-03-14
518,Mathematics,7.0,Data Interpretation,medium,MCQ,2.0,Sample question text 518,Unknown,2025-03-14
521,Mathematics,5.0,Geometry,hard,True/False,2.0,Sample question text 521,Unknown,2025-02-14
524,Mathematics,6.0,Data Interpretation,medium,MCQ,2.0,Sample question text 524,Teacher A,2025-02-14
525,English,6.0,Data Interpretation,easy,MCQ,2.0,Sample question text 525,Unknown,
528,Mathematics,5.0,Fractions,hard,Word Problem,5.0,Sample question text 528,Admin,2025-01-10
530,Mathematics,6.0,Data Interpretation,unknown,Short Answer,2.0,Sample question text 530,Teacher A,2025-01-10
531,Science,7.0,Fractions,unknown,Unknown,2.0,Sample question text 531,Teacher A,
533,Science,7.0,Algebra,unknown,Short Answer,3.0,Sample question text 533,Unknown,2025-02-14
535,Mathematics,6.0,Algebra,hard,True/False,2.0,Sample question text 535,Unknown,2025-02-14
537,Mathematics,7.0,Algebra,easy,Unknown,5.0,Sample question text 537,Teacher B,2025-03-14
538,Mathematics,6.0,Algebra,unknown,True/False,2.0,Sample question text 538,Admin,
541,Mathematics,7.0,Algebra,easy,Word Problem,2.0,Sample question text 541,Unknown,2025-01-10
544,Science,7.0,Fractions,hard,True/False,2.0,Sample question text 544,Teacher B,
549,Mathematics,5.0,Algebra,easy,Word Problem,2.0,Sample question text 549,Unknown,
554,Mathematics,5.0,Data Interpretation,medium,True/False,5.0,Sample question text 554,Unknown,
555,Mathematics,7.0,Algebra,medium,MCQ,3.0,Sample question text 555,Admin,
556,Science,6.0,Algebra,unknown,True/False,2.0,Sample question text 556,Admin,
557,Science,5.0,Algebra,medium,MCQ,1.0,Sample question text 557,Unknown,
558,Mathematics,6.0,Geometry,easy,Short Answer,5.0,Sample question text 558,Unknown,2025-01-10
559,Mathematics,6.0,Fractions,easy,MCQ,2.0,Sample question text 559,Teacher B,2025-03-14
560,Science,7.0,Fractions,unknown,MCQ,5.0,Sample question text 560,Unknown,
563,English,7.0,Measurement,hard,Short Answer,1.0,Sample question text 563,Admin,
568,Mathematics,7.0,Fractions,medium,Short Answer,2.0,Sample question text 568,Admin,2025-03-14
570,Mathematics,6.0,Fractions,unknown,MCQ,1.0,Sample question text 570,Teacher B,
572,Mathematics,6.0,Fractions,hard,MCQ,2.0,Sample question text 572,Admin,2025-03-14
580,Mathematics,7.0,Geometry,hard,Word Problem,2.0,Sample question text 580,Admin,
581,Mathematics,6.0,Measurement,easy,MCQ,2.0,Sample question text 581,Unknown,2025-01-10
583,Science,6.0,Geometry,hard,Unknown,2.0,Sample question text 583,Unknown,2025-03-14
588,Mathematics,7.0,Algebra,easy,MCQ,2.0,Sample question text 588,Admin,
592,Mathematics,6.0,Geometry,medium,MCQ,5.0,Sample question text 592,Teacher B,
595,Science,6.0,Measurement,easy,Unknown,2.0,Sample question text 595,Teacher A,2025-02-14
598,Mathematics,6.0,Algebra,unknown,Word Problem,2.0,Sample question text 598,Admin,2025-02-14
600,Mathematics,7.0,Algebra,hard,MCQ,1.0,Sample question text 600,Unknown,2025-01-10
603,English,7.0,Fractions,hard,True/False,2.0,Sample question text 603,Teacher B,2025-02-14
605,English,6.0,Algebra,unknown,True/False,2.0,Sample question text 605,Teacher B,2025-02-14
609,English,5.0,Algebra,unknown,MCQ,2.0,Sample question text 609,Teacher B,
610,Mathematics,7.0,Algebra,unknown,Word Problem,2.0,Sample question text 610,Teacher A,
612,Mathematics,6.0,Measurement,hard,Word Problem,2.0,Sample question text 612,Unknown,
613,Mathematics,7.0,Measurement,medium,MCQ,2.0,Sample question text 613,Unknown,2025-03-14
615,English,6.0,Geometry,easy,Short Answer,2.0,Sample question text 615,Teacher B,2025-02-14
616,Mathematics,7.0,Algebra,unknown,MCQ,5.0,Sample question text 616,Teacher B,2025-01-10
617,Mathematics,6.0,Measurement,hard,MCQ,3.0,Sample question text 617,Teacher A,
622,Science,6.0,Fractions,easy,Short Answer,2.0,Sample question text 622,Unknown,2025-03-14
627,Mathematics,6.0,Data Interpretation,medium,Word Problem,5.0,Sample question text 627,Unknown,2025-02-14
629,Mathematics,6.0,Geometry,easy,MCQ,5.0,Sample question text 629,Admin,2025-01-10
630,Science,6.0,Fractions,hard,Word Problem,5.0,Sample question text 630,Teacher A,2025-03-14
631,Mathematics,7.0,Algebra,easy,Word Problem,2.0,Sample question text 631,Unknown,
639,Science,5.0,Geometry,unknown,True/False,5.0,Sample question text 639,Teacher B,
640,Mathematics,7.0,Fractions,medium,MCQ,1.0,Sample question text 640,Teacher A,2025-03-14
641,Science,6.0,Measurement,unknown,MCQ,5.0,Sample question text 641,Unknown,2025-03-14
642,English,6.0,Fractions,medium,True/False,2.0,Sample question text 642,Unknown,2025-03-14
646,English,6.0,Measurement,easy,MCQ,2.0,Sample question text 646,Teacher B,2025-02-14
647,Science,7.0,Geometry,easy,MCQ,2.0,Sample question text 647,Unknown,
648,Mathematics,6.0,Geometry,easy,Unknown,1.0,Sample question text 648,Admin,2025-01-10
654,Science,6.0,Measurement,medium,Word Problem,2.0,Sample question text 654,Teacher A,2025-01-10
655,English,5.0,Algebra,easy,MCQ,1.0,Sample question text 655,Teacher B,
656,Science,6.0,Geometry,unknown,Unknown,3.0,Sample question text 656,Unknown,2025-03-14
657,Mathematics,7.0,Fractions,medium,Short Answer,2.0,Sample question text 657,Teacher B,
659,Mathematics,6.0,Data Interpretation,unknown,True/False,2.0,Sample question text 659,Admin,2025-03-14
661,Mathematics,6.0,Fractions,medium,Unknown,1.0,Sample question text 661,Unknown,
663,Mathematics,6.0,Data Interpretation,medium,MCQ,2.0,Sample question text 663,Unknown,2025-03-14
665,Mathematics,6.0,Algebra,unknown,Unknown,2.0,Sample question text 665,Teacher B,
667,Science,5.0,Geometry,medium,MCQ,3.0,Sample question text 667,Admin,2025-03-14
668,English,6.0,Fractions,unknown,MCQ,5.0,Sample question text 668,Teacher A,2025-03-14
669,Mathematics,6.0,Geometry,easy,MCQ,3.0,Sample question text 669,Unknown,2025-02-14
671,Mathematics,5.0,Geometry,hard,MCQ,3.0,Sample question text 671,Admin,2025-02-14
676,Science,7.0,Fractions,easy,True/False,1.0,Sample question text 676,Admin,2025-01-10
677,English,5.0,Geometry,unknown,Short Answer,5.0,Sample question text 677,Teacher B,
683,Mathematics,7.0,Algebra,easy,MCQ,1.0,Sample question text 683,Unknown,2025-03-14
684,Mathematics,6.0,Geometry,hard,MCQ,2.0,Sample question text 684,Teacher B,
687,Mathematics,7.0,Data Interpretation,hard,Unknown,2.0,Sample question text 687,Teacher B,
689,Mathematics,7.0,Measurement,easy,Short Answer,2.0,Sample question text 689,Teacher B,
696,Mathematics,5.0,Geometry,unknown,Unknown,2.0,Sample question text 696,Unknown,
697,English,7.0,Measurement,hard,Word Problem,3.0,Sample question text 697,Teacher B,2025-03-14
698,Mathematics,7.0,Algebra,unknown,Word Problem,5.0,Sample question text 698,Admin,
703,English,6.0,Algebra,hard,MCQ,1.0,Sample question text 703,Teacher A,2025-03-14
706,Mathematics,7.0,Measurement,unknown,MCQ,2.0,Sample question text 706,Unknown,2025-02-14
707,Mathematics,7.0,Algebra,hard,Short Answer,2.0,Sample question text 707,Admin,2025-03-14
708,Science,6.0,Algebra,hard,MCQ,2.0,Sample question text 708,Unknown,
710,Science,7.0,Data Interpretation,medium,Short Answer,2.0,Sample question text 710,Unknown,
711,Mathematics,7.0,Fractions,unknown,MCQ,2.0,Sample question text 711,Unknown,2025-02-14
714,Mathematics,5.0,Algebra,unknown,True/False,2.0,Sample question text 714,Teacher A,
717,Mathematics,7.0,Algebra,easy,True/False,2.0,Sample question text 717,Unknown,2025-01-10
718,Mathematics,6.0,Algebra,unknown,MCQ,3.0,Sample question text 718,Admin,2025-02-14
719,Mathematics,7.0,Algebra,medium,Word Problem,1.0,Sample question text 719,Unknown,2025-03-14
721,Mathematics,6.0,Geometry,unknown,MCQ,3.0,Sample question text 721,Teacher B,
722,English,7.0,Geometry,hard,Unknown,5.0,Sample question text 722,Unknown,
723,Science,5.0,Geometry,unknown,True/False,2.0,Sample question text 723,Teacher B,
728,English,6.0,Algebra,unknown,MCQ,2.0,Sample question text 728,Admin,
731,Mathematics,5.0,Measurement,medium,Word Problem,2.0,Sample question text 731,Teacher A,2025-03-14
738,Mathematics,6.0,Measurement,easy,Short Answer,1.0,Sample question text 738,Admin,2025-02-14
741,Science,7.0,Geometry,easy,MCQ,2.0,Sample question text 741,Unknown,
743,Mathematics,7.0,Geometry,medium,Short Answer,3.0,Sample question text 743,Teacher A,2025-03-14
744,Mathematics,7.0,Geometry,easy,Short Answer,2.0,Sample question text 744,Admin,2025-03-14
